ID	N1	N2	N3	CA4	CA5	CA6	N7	N8	N9	N10	CA11	CA12	CA13	CA14
NM_172220	465	764	329	165	14	3	186	160	1099	132	1184	90	2	187
NM_172226	378	381	847	437	183	319	484	343	757	176	529	957	817	1679
NM_172229	1	2	10	21	60	29	4	0	4	0	36	53	4	59
NM_172230	274	253	671	201	70	264	700	442	687	165	554	515	336	1827
NM_172231	182	178	266	172	385	309	196	100	324	89	246	401	293	542
NM_172232	330	260	1310	227	31	158	1909	1450	5134	651	1408	456	795	1979
NM_172236	21	32	33	35	24	10	79	66	175	25	148	119	131	433
NM_172240	262	385	827	216	21	103	427	345	1421	217	774	186	421	1125
NM_172241	33	63	131	15	1	17	80	55	143	42	82	53	71	217
NM_172242	11	25	61	0	0	4	39	45	22	0	4	0	2	13
NM_172244	23	17	46	5	0	0	114	36	301	12	69	67	5	112
NM_172245	23	22	49	19	3	9	64	14	105	33	83	92	67	795
NM_172245	19	24	67	7	0	14	64	14	105	33	83	92	67	795
NM_172246	18	20	57	7	0	14	62	14	96	29	80	79	63	705
NM_172246	22	20	42	17	2	9	62	14	96	29	80	79	63	705
NM_172247	17	20	58	7	0	14	64	14	87	30	70	87	64	722
NM_172247	22	18	42	17	2	9	64	14	87	30	70	87	64	722
NM_172249	15	20	50	7	0	14	54	11	98	30	70	80	35	569
NM_172249	20	19	36	16	0	9	54	11	98	30	70	80	35	569
NM_172250	132	182	374	61	7	60	206	116	455	87	274	94	396	385
NM_172251	410	303	673	290	1814	240	449	339	988	249	575	536	548	975
NM_172311	31	61	110	71	0	2	159	213	376	96	246	609	267	615
NM_172313	28	116	230	100	122	14	391	276	460	316	243	660	216	1260
NM_172315	80	68	270	126	9	59	120	88	198	85	261	153	148	1396
NM_172316	81	69	266	131	12	59	120	88	199	82	261	144	150	1369
NM_172341	185	202	512	183	170	212	356	286	612	105	640	319	434	1031
NM_172344	4	0	2	11	6	1	28	27	38	6	72	162	37	100
NM_172349	490	515	1439	450	129	633	2432	1606	3595	1079	3332	5701	3664	7551
NM_172350	1364	1721	4349	1626	173	1090	3427	2564	6947	2357	4501	3048	5722	8720
NM_172351	1400	1745	4440	1674	173	1101	3705	2792	7654	2540	4959	3395	6248	9627
NM_172352	1393	1741	4417	1668	173	1100	3586	2691	7394	2471	4804	3311	6079	9326
NM_172353	1387	1740	4401	1660	173	1097	3556	2674	7299	2451	4749	3255	6013	9171
NM_172359	1397	1745	4428	1667	173	1098	3681	2783	7589	2525	4915	3344	6195	9497
NM_172361	1385	1738	4393	1660	173	1094	3434	2574	7028	2364	4566	3147	5778	8814
NM_172364	21	25	67	10	5	11	46	20	66	16	16	29	9	89
NM_172366	29	45	81	2	2	0	106	83	124	24	56	4	0	94
NM_172369	385	568	861	375	1852	340	559	342	651	205	763	1849	2327	4358
NM_172373	491	711	2369	467	26	278	1431	883	1899	735	1828	1799	2383	3663
NM_172374	260	120	405	78	208	30	336	67	272	55	92	206	368	619
NM_172387	64	37	134	55	136	99	127	48	136	50	86	239	97	375
NM_172388	58	32	122	49	80	99	95	34	110	44	72	149	73	262
NM_172389	64	37	131	55	132	99	126	48	135	50	84	237	96	367
NM_172390	29	17	58	28	88	63	64	21	76	22	28	140	53	217
NM_173042	34	122	111	18	17	31	49	21	53	13	30	65	92	274
NM_173044	32	118	111	24	7	65	35	12	40	9	20	43	75	198
NM_173054	61	38	66	7	0	0	199	658	223	6	181	8	4	262
NM_173060	830	1067	3837	1264	183	1816	3833	2906	5779	3065	7382	11289	3359	10398
