"","GSM931711","GSM931712","GSM931713","GSM931714","GSM931715","GSM931716","GSM931717","GSM931718","GSM931719","GSM931720","GSM931721","GSM931722","GSM931723","GSM931724","GSM931725","GSM931726","GSM931727","GSM931728","GSM931729","GSM931730","GSM931731","GSM931732","GSM931733","GSM931734"
"ACOX1",0,0,0,0,1151.63148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697.35007,0,0,0
"ACOX2",0,0,0,462.96296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOX3",0,0,0,0,0,0,0,0,0,198.74789,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOXL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACP1",0,0,0,0,0,146.17746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACP5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACP6",0,0,0,0,0,0,0,0,0,0,0,0,0,116.45511,0,0,2101.61948,0,0,0,0,0,0,0
"ACP7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACPP",0,0,0,0,0,0,156.10365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACPT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACRBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACRC",0,0,0,0,0,0,0,0,0,0,243.78352,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACRV1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSBG1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.9861,0,0,0,0,0,0,0,0,0
"ACSBG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSF2",0,0,0,0,0,0,0,0,0,99.37394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSF3",0,0,0,0,0,0,0,0,0,99.37394,0,348.43206,0,2212.64702,0,126.45422,0,0,0,0,0,0,0,0
"ACSL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259.67281,0
"ACSL3",224.8707,275.82402,235.79344,0,0,292.35492,312.20731,0,0,99.37394,0,0,0,0,245.97221,126.45422,494.4987,0,0,0,697.35007,171.02788,0,338.52404
"ACSL4",0,0,0,0,191.93858,584.70984,156.10365,0,0,0,0,0,0,349.36532,0,0,0,0,0,0,697.35007,513.08363,0,0
"ACSL5",0,0,0,0,0,0,0,0,0,99.37394,243.78352,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSL6",0,137.91201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSM2A",0,0,0,0,0,0,0,195.12195,0,0,0,3832.75261,215.05376,116.45511,0,0,988.9974,0,0,0,0,0,0,0
