"","GSM3346551","GSM3346553","GSM3346555","GSM3346557","GSM3346559","GSM3346561","GSM3346563","GSM3346565","GSM3346567","GSM3346569","GSM3346571","GSM3346573","GSM3346575","GSM3346577","GSM3346578","GSM3346580","GSM3346582","GSM3346584","GSM3346586","GSM3346588","GSM3346591","GSM3346593","GSM3346595","GSM3346601","GSM3346603","GSM3346605","GSM3346607","GSM3346609","GSM3346611","GSM3346613","GSM3346615","GSM3346617","GSM3346619","GSM3346621","GSM3346623","GSM3346625","GSM3346626","GSM3346628","GSM3346630","GSM3346632","GSM3346634","GSM3346636","GSM3346638","GSM3346640","GSM3346642","GSM3346644","GSM3346646","GSM3346648","GSM3346650"
"EPB42",1.33792,1.34069,1.13621,1.77269,1.48207,1.41836,0.869,1.64416,1.05735,1.24295,1.44233,1.58196,1.10384,1.06936,0.59606,1.29854,0.7217,1.00039,0.8804,0.53429,0.4513,0.92412,1.15195,0.56383,0.88674,1.14844,1.46042,0.21295,1.17965,0.64764,1.17812,0.62125,1.11609,0.83394,1.09858,0.22831,1.0866,0.96383,1.22565,0.58837,0.85721,1.01336,0.6159,1.24094,1.28415,0.61134,0.6869,1.61195,1.34381
"EPC1",41.47547,45.48768,39.87074,45.30786,38.2163,44.3743,48.56737,43.49965,46.47297,35.20048,44.61904,42.75687,43.04973,51.41469,44.52095,52.8071,47.24744,47.70054,45.27757,26.93717,49.32752,53.37901,45.85653,44.47998,53.38149,59.20842,43.64566,40.88612,50.89344,45.7971,49.13193,41.54087,49.64522,42.90158,44.86598,43.69946,47.33776,48.48473,40.86901,44.25403,51.00415,56.9326,49.00797,48.56766,60.48813,47.33523,48.891,78.1798,51.23264
"EPC2",25.78066,29.68669,23.70553,31.69986,26.41265,28.92434,30.84945,27.85669,28.1456,23.56642,31.87074,23.99306,28.23281,28.35935,34.25041,31.16485,27.80959,29.28422,30.1012,16.78564,25.90485,34.10448,28.84309,38.40314,29.35095,32.62418,31.25296,30.87754,35.89504,28.91231,29.88932,31.55946,31.95317,29.41955,32.25429,29.77226,31.84197,28.32816,24.76654,25.04786,26.83075,39.33693,30.83895,34.06155,37.4619,28.209,31.23367,48.26908,30.36164
"EPCAM",124.16913,186.30794,161.29056,158.60359,153.07693,153.28382,185.43466,144.21591,150.54624,131.65376,166.33271,164.26019,169.22704,137.34822,255.2504,157.5989,145.11026,239.23026,136.12618,86.28798,119.46015,128.10082,177.40051,179.29819,136.29127,118.33177,141.36854,218.86849,120.23996,121.84804,139.4544,229.69658,138.9322,158.40227,152.2631,133.2902,154.95794,136.61212,120.95875,96.49311,126.82459,92.12395,131.14251,146.81555,124.47447,115.45603,85.86229,95.23965,168.81576
"EPDR1",14.51127,8.6666,17.24978,13.66014,6.08708,7.85162,3.47599,17.85083,4.38044,12.92673,6.18804,7.73403,13.07625,6.11672,6.87759,11.12412,21.26616,2.50098,12.36748,6.85673,5.50591,3.38844,16.03871,13.15605,3.67995,5.82727,11.5999,10.73261,2.40143,10.96355,9.11952,6.29533,7.48192,8.10775,11.73283,25.38861,2.74011,2.43052,11.24215,16.43241,16.71564,7.18567,2.33162,17.62985,6.68646,16.54986,8.76805,8.55231,13.31209
"EPG5",56.81008,48.50423,48.39233,54.79697,59.54756,85.40533,50.4502,60.41096,83.98365,50.11593,58.48398,42.09772,55.1495,50.04591,50.98589,58.9535,45.70781,56.88596,72.40219,28.0948,50.77169,59.75985,59.54703,49.42917,41.54357,66.09905,59.66854,60.17925,54.89582,73.50666,52.31722,44.68853,63.69965,74.22066,49.17241,45.70863,55.51085,74.75952,43.912,41.48027,64.3338,64.94738,41.04527,59.26539,60.57669,63.57942,57.65905,60.49307,55.34805
"EPGN",0.82333,1.34069,1.03292,1.04276,1.16449,1.21573,0.53105,1.69113,1.05735,1.44183,1.07011,0.87887,1.44348,0.81271,0.77946,1.16868,0.67359,0.8185,1.09002,0.44524,0.90261,2.55234,1.06334,0.25059,0.75373,1.19097,1.04316,0.4259,1.3903,1.01771,1.22175,0.95258,1.44678,1.25091,0.92281,0.45663,0.80314,0.83811,0.38037,0.79851,1.15724,1.56611,1.05583,1.02698,1.28415,0.78601,0.76771,1.47762,1.00786
"EPHA1",12.55585,9.14542,9.45122,8.18566,8.8395,22.99764,11.00732,11.18026,10.01963,7.90519,12.37608,10.45851,10.57138,9.36757,19.62407,37.78738,11.73969,27.41985,35.04819,6.32244,22.29441,28.86779,29.81782,27.69036,25.84834,35.47401,14.938,27.7259,20.09617,42.37388,19.24261,13.58465,29.18362,17.1421,19.37894,14.01853,26.3145,41.86365,9.72065,46.31333,30.90251,32.42763,32.64265,11.89587,28.16285,29.30068,45.65853,11.37323,12.97614
"EPHA1-AS1",1.8525,1.0534,1.3428,2.24193,2.3819,2.58344,1.11039,1.78508,1.007,1.74014,1.25622,1.45013,1.06138,0.81271,0.55021,1.9478,1.63586,0.90945,1.50925,1.02406,1.21852,1.62821,1.19626,1.00237,1.06408,1.19097,1.79423,0.55367,1.68521,1.52657,1.48356,0.66267,1.19876,1.89953,1.23041,0.45663,1.4173,1.17336,1.26791,1.00864,1.75729,1.42792,1.09982,1.84001,1.50556,1.35368,1.01014,2.01494,1.17583
"EPHA10",2.31563,3.06443,1.75597,3.4411,3.12294,3.44458,2.02766,2.81855,3.22239,3.03281,3.44297,1.75773,2.88696,2.52368,1.87988,2.03437,1.68397,1.8189,2.34773,1.38025,1.57956,2.72836,2.74696,1.69149,1.24143,2.97743,2.3784,1.14992,1.64308,1.80413,2.61804,1.15967,1.98416,2.36283,1.80167,1.09591,2.45665,1.67622,1.94413,1.34485,2.8288,1.9346,2.33162,2.39629,1.59412,2.4017,1.81826,2.14927,2.22568
"EPHA2",94.99221,104.86106,94.82212,199.06262,71.03362,147.25581,217.34623,80.28175,243.08937,49.32044,225.93333,112.36311,99.26061,159.24865,42.45767,225.12274,134.47718,56.02199,145.559,58.63842,229.89423,315.65344,81.4341,98.2945,356.86677,177.28498,81.95036,97.95632,562.145,147.42966,102.10366,45.47545,245.04317,76.07386,57.08219,52.37542,160.86335,229.05578,196.52627,300.65842,210.87428,443.71499,152.61099,109.11678,222.07025,89.56139,215.64566,141.2699,234.24237
